Name "RNA4T1A" "RNA4T1B" "EV4T1A" "EV4T1B"
668 "GeneID668" 75 82 2 6
669 "GeneID669" 0 0 0 0
670 "GeneID670" 0 0 0 0
671 "GeneID671" 0 0 0 0
672 "GeneID672" 0 0 0 0
673 "GeneID673" 0 0 0 0
674 "GeneID674" 0 0 0 0
675 "GeneID675" 8 5 0 1
676 "GeneID676" 11 10 61 48
677 "GeneID677" 0 0 0 0
678 "GeneID678" 9 18 6 2
679 "GeneID679" 0 1 58 34
680 "GeneID680" 0 0 0 0
681 "GeneID681" 4 2 1 2
682 "GeneID682" 3 2 1 0
683 "GeneID683" 0 0 0 0
684 "GeneID684" 0 0 0 0
685 "GeneID685" 3 1 0 0
686 "GeneID686" 3126 2745 66 62
687 "GeneID687" 0 0 0 0
688 "GeneID688" 0 0 0 0
689 "GeneID689" 0 0 0 0
690 "GeneID690" 0 0 0 0
691 "GeneID691" 122 119 1 3
692 "GeneID692" 2 3 0 0
693 "GeneID693" 3 7 5 3
694 "GeneID694" 534 476 62 62
695 "GeneID695" 109 180 7 8
696 "GeneID696" 0 0 0 0
697 "GeneID697" 0 0 0 0
698 "GeneID698" 0 0 0 0
699 "GeneID699" 0 0 0 0
700 "GeneID700" 0 0 0 0
701 "GeneID701" 0 0 0 0
702 "GeneID702" 3 1 0 0
703 "GeneID703" 1 0 1 0
704 "GeneID704" 507 643 12 19
705 "GeneID705" 688 697 30 39
706 "GeneID706" 6 10 0 0
707 "GeneID707" 7 10 1 1
708 "GeneID708" 0 0 0 0
709 "GeneID709" 0 0 0 0
710 "GeneID710" 0 0 0 0
711 "GeneID711" 0 0 0 0
712 "GeneID712" 8 3 97 148
713 "GeneID713" 39 32 365 410
714 "GeneID714" 171 149 9 9
715 "GeneID715" 0 0 0 0
716 "GeneID716" 0 0 0 0
717 "GeneID717" 1 0 0 1
718 "GeneID718" 0 0 0 0
719 "GeneID719" 0 0 0 0
720 "GeneID720" 0 0 0 0
721 "GeneID721" 0 0 0 0
722 "GeneID722" 10 6 1 0
723 "GeneID723" 0 0 0 0
724 "GeneID724" 0 0 0 0
725 "GeneID725" 3 1 2 0
726 "GeneID726" 0 0 0 0
727 "GeneID727" 0 0 0 0
728 "GeneID728" 0 0 0 0
729 "GeneID729" 0 0 0 0
730 "GeneID730" 0 0 0 0
731 "GeneID731" 0 0 0 0
732 "GeneID732" 0 0 0 0
733 "GeneID733" 0 0 0 0
734 "GeneID734" 0 0 0 0
735 "GeneID735" 274 254 70 38
736 "GeneID736" 205 147 6 13
737 "GeneID737" 3 2 0 0
738 "GeneID738" 18 21 4 4
739 "GeneID739" 1 4 2 0
740 "GeneID740" 0 0 0 0
741 "GeneID741" 0 0 3 5
742 "GeneID742" 0 0 0 0
743 "GeneID743" 0 0 0 0
744 "GeneID744" 0 0 0 0
745 "GeneID745" 0 0 0 0
746 "GeneID746" 0 0 0 1
747 "GeneID747" 0 0 0 5
748 "GeneID748" 0 0 0 0
749 "GeneID749" 0 0 0 1
750 "GeneID750" 0 0 0 0
751 "GeneID751" 0 0 0 0
752 "GeneID752" 0 0 0 0
753 "GeneID753" 0 0 0 0
754 "GeneID754" 0 0 0 0
755 "GeneID755" 1 0 0 0
756 "GeneID756" 0 0 0 0
757 "GeneID757" 0 0 0 0
758 "GeneID758" 0 0 0 1
759 "GeneID759" 0 0 0 0
760 "GeneID760" 5 1 0 2
761 "GeneID761" 0 0 0 0
762 "GeneID762" 0 0 0 0
